@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
7,1,B6,JFK,2,0,?
10,4,OO,DFW,2,2,?
24,4,MQ,DFW,2,1,?
8,2,AA,BOS,2,1,?
13,7,UA,EWR,1,9,?
20,7,AA,DFW,1,5,?
9,3,B6,LAX,1,10,?
14,1,AA,DFW,1,2,?
2,3,AA,DFW,2,6,?
9,3,OO,DEN,2,3,?
17,4,B6,BOS,2,0,?
7,1,UA,ORD,2,2,?
22,2,DL,LAX,2,7,?
20,7,OO,LAX,2,1,?
30,3,DL,ORD,1,2,?
9,3,WN,EWR,1,5,?
3,4,UA,DEN,1,3,?
21,1,AA,DFW,2,4,?
17,4,OO,ORD,2,0,?
18,5,UA,EWR,1,0,?
8,2,EV,ORD,1,2,?
9,3,AA,ORD,2,2,?
30,3,UA,ORD,1,0,?
21,1,OO,ORD,2,0,?
20,7,AA,LAX,0,4,?
4,5,EV,EWR,2,2,?
5,6,OO,LAX,2,1,?
11,5,MQ,ORD,2,2,?
19,6,EV,ORD,1,2,?
15,2,WN,LAX,1,4,?
20,7,UA,LAX,2,9,?
3,4,UA,EWR,2,0,?
18,5,AA,ORD,1,2,?
15,2,EV,DFW,1,1,?
6,7,AA,DFW,1,4,?
28,1,OO,ORD,1,1,?
30,3,B6,BOS,2,4,?
1,2,UA,ORD,1,2,?
30,3,B6,JFK,1,0,?
18,5,UA,EWR,1,4,?
10,4,MQ,ORD,2,0,?
9,3,AA,DFW,2,5,?
9,3,B6,BOS,0,1,?
24,4,UA,EWR,1,9,?
14,1,WN,LAX,2,2,?
27,7,WN,LAX,1,1,?
18,5,DL,JFK,1,4,?
4,5,WN,DEN,2,5,?
25,5,UA,ORD,1,8,?
12,6,AA,DFW,1,4,?
3,4,WN,LAX,2,0,?
11,5,WN,DEN,1,4,?
17,4,DL,DEN,1,2,?
2,3,DL,BOS,1,2,?
6,7,OO,DEN,1,1,?
19,6,WN,DEN,0,2,?
17,4,WN,BOS,0,6,?
9,3,OO,ORD,2,4,?
30,3,DL,LAX,1,8,?
22,2,OO,DEN,1,1,?
30,3,B6,BOS,2,3,?
30,3,WN,DEN,1,3,?
17,4,MQ,ORD,1,0,?
15,2,MQ,ORD,2,0,?
3,4,OO,ORD,1,2,?
22,2,WN,LAX,2,3,?
28,1,B6,BOS,2,0,?
9,3,AA,JFK,0,9,?
29,2,EV,ORD,1,2,?
7,1,AA,EWR,1,2,?
2,3,AA,JFK,1,4,?
21,1,OO,DEN,1,3,?
29,2,B6,JFK,0,6,?
15,2,EV,ORD,1,3,?
4,5,AA,ORD,1,6,?
20,7,MQ,ORD,2,1,?
10,4,B6,JFK,2,0,?
8,2,MQ,ORD,2,0,?
30,3,B6,JFK,1,0,?
8,2,AA,DFW,2,4,?
10,4,B6,JFK,1,3,?
29,2,OO,ORD,1,1,?
21,1,WN,DEN,2,3,?
8,2,B6,JFK,1,2,?
30,3,AA,DFW,1,5,?
10,4,MQ,ORD,2,0,?
13,7,UA,LAX,2,6,?
1,2,UA,LAX,0,9,?
14,1,B6,JFK,2,0,?
29,2,OO,ORD,2,1,?
17,4,B6,EWR,1,0,?
5,6,MQ,ORD,2,2,?
14,1,WN,DEN,2,6,?
1,2,AA,DFW,0,5,?
6,7,OO,ORD,1,3,?
5,6,AA,DFW,1,5,?
14,1,WN,DEN,2,3,?
7,1,AA,DFW,2,2,?
22,2,AA,LAX,2,1,?
9,3,UA,EWR,2,4,?
18,5,MQ,ORD,2,2,?
10,4,AA,DFW,1,2,?
15,2,UA,ORD,2,0,?
7,1,B6,BOS,2,10,?
3,4,MQ,DFW,2,1,?
23,3,OO,DEN,1,2,?
18,5,AA,DFW,1,4,?
8,2,WN,LAX,2,1,?
14,1,MQ,DFW,1,0,?
15,2,OO,ORD,1,0,?
14,1,MQ,DFW,2,0,?
18,5,AA,DFW,1,3,?
21,1,MQ,ORD,2,0,?
9,3,MQ,DFW,2,1,?
1,2,DL,LAX,1,10,?
27,7,EV,BOS,2,2,?
23,3,WN,DEN,1,2,?
28,1,AA,DFW,1,0,?
10,4,AA,JFK,2,9,?
9,3,MQ,ORD,2,0,?
21,1,B6,BOS,2,0,?
26,6,WN,DEN,2,6,?
26,6,AA,JFK,1,9,?
16,3,DL,JFK,1,4,?
23,3,AA,BOS,1,2,?
7,1,MQ,ORD,2,1,?
13,7,AA,ORD,1,3,?
10,4,AA,ORD,2,6,?
4,5,UA,EWR,2,6,?
4,5,OO,ORD,0,1,?
20,7,WN,DEN,1,3,?
16,3,B6,EWR,1,0,?
21,1,UA,ORD,0,1,?
22,2,EV,EWR,2,2,?
27,7,WN,DEN,2,4,?
17,4,AA,ORD,1,6,?
13,7,UA,LAX,2,9,?
15,2,AA,DFW,1,5,?
29,2,AA,ORD,2,3,?
23,3,AA,ORD,2,6,?
17,4,AA,LAX,0,1,?
16,3,AA,DFW,2,2,?
29,2,UA,DEN,1,1,?
22,2,AA,DFW,1,4,?
6,7,WN,LAX,2,2,?
2,3,MQ,DFW,2,2,?
23,3,OO,LAX,1,4,?
20,7,WN,DEN,1,2,?
8,2,AA,DFW,1,4,?
10,4,WN,BOS,0,3,?
17,4,UA,ORD,2,2,?
10,4,MQ,ORD,1,1,?
23,3,OO,ORD,1,2,?
4,5,EV,ORD,1,1,?
15,2,WN,LAX,1,1,?
14,1,WN,LAX,2,1,?
1,2,WN,DEN,2,6,?
30,3,DL,EWR,2,1,?
2,3,AA,ORD,2,6,?
8,2,EV,ORD,1,0,?
28,1,UA,ORD,1,2,?
8,2,AA,BOS,0,1,?
4,5,AA,DFW,2,5,?
13,7,AA,DFW,1,3,?
30,3,B6,BOS,2,2,?
21,1,UA,ORD,0,3,?
15,2,AA,DFW,1,0,?
16,3,MQ,ORD,1,0,?
3,4,OO,LAX,2,0,?
29,2,AA,DFW,2,4,?
12,6,UA,DFW,0,2,?
30,3,AA,BOS,2,3,?
11,5,AA,ORD,0,3,?
23,3,DL,LAX,1,2,?
27,7,AA,JFK,2,10,?
13,7,UA,DEN,1,4,?
29,2,UA,DEN,1,6,?
23,3,MQ,ORD,0,1,?
8,2,UA,ORD,1,2,?
1,2,B6,ORD,2,2,?
28,1,MQ,DFW,1,2,?
1,2,AA,DFW,1,5,?
7,1,OO,LAX,1,0,?
13,7,AA,LAX,1,6,?
27,7,WN,LAX,1,7,?
29,2,OO,DEN,1,2,?
4,5,OO,LAX,1,4,?
22,2,UA,ORD,0,2,?
30,3,UA,ORD,1,3,?
27,7,UA,ORD,1,2,?
29,2,UA,ORD,1,2,?
15,2,OO,ORD,2,0,?
26,6,AA,DFW,0,3,?
9,3,AA,DFW,1,4,?
13,7,AA,DFW,1,5,?
16,3,AA,DFW,1,3,?
8,2,MQ,ORD,2,2,?
17,4,WN,LAX,2,1,?
11,5,UA,DEN,1,2,?
1,2,UA,ORD,1,2,?
23,3,AA,DFW,1,5,?
29,2,EV,ORD,1,2,?
25,5,B6,JFK,1,0,?
17,4,AA,DFW,1,2,?
27,7,UA,ORD,2,2,?
23,3,OO,LAX,1,0,?
9,3,EV,EWR,2,0,?
